Track,Driver,Stint,Lap,LapTime_s,Mean_TotalG,Std_TotalG,Max_TotalG,Mean_Speed_KPH,Mean_Throttle_Pct,Mean_Brake_Pct,Session
charlotte_roval_2025,Driver C,stint_1,8,109.34999999990055,0.7467188495814372,0.43170080283975054,1.8069347761328864,120.73241174997844,69.51522635645411,5.472080086792754,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_1,9,103.06666666657293,0.7971407083158978,0.6050853115809379,1.9098084619677937,126.61682692241746,73.52473425910799,5.199487252311861,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_1,10,99.64999999990937,0.7653515721737584,0.4574084596482705,1.721705858151655,130.7022617908465,72.41526854690164,4.982268513477389,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_1,11,99.11666666657652,0.7676757059320483,0.4690434644996442,1.7760278311141988,131.33633503833713,74.04539952603893,5.3622291702186065,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_1,12,109.73333333323353,0.7494482534355468,0.8079864240435204,1.766149112812813,120.32073781197597,68.39690085262875,5.097144334971262,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_1,13,99.58333333324276,0.792732371475866,0.5566630737658382,1.80026805894733,130.87900765545396,73.74134677624903,4.382491446511759,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_1,14,99.11666666657652,0.7673202600656558,0.4280390721508253,1.7802528027751348,131.71547596308716,73.24908488487547,5.083610593920158,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_1,15,99.99999999990905,0.7505301317128793,0.43486001325352897,1.723001673109065,130.02614138507383,71.75615737985613,4.5464023923777,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_1,16,101.43333333360829,0.7473845927461148,0.41970041562570837,1.7290685163128328,128.6331567738901,70.78219127163266,4.770186249880787,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_1,17,102.2000000013013,0.7332045855049208,0.4704123323754722,1.7827304829464041,127.21297956199528,69.31440496089697,4.783642568949946,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_1,18,119.71666666819101,0.6887437178556794,0.45678506979150224,1.6750855337760289,109.9355274144502,65.77952542329412,7.459741209055526,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_1,19,119.63333333485662,0.6506355169001518,0.8194989207319783,1.8108359277530643,109.95480692911687,57.96330203476041,3.0219097645868453,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_1,20,100.73333333461596,0.7679273866517982,0.49544987738524315,1.8005368866962048,129.6539929769057,73.59595246390401,5.521673681166306,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_1,21,99.00000000126056,0.7620932239468743,0.44933693593546864,1.9327906731631121,131.3096328188285,72.72807567304261,4.803480263041485,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_1,22,100.48333333461278,0.7667121730096909,0.47807069483152287,1.7546537091257601,129.59216789302542,74.7173408011614,5.335631099358513,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_1,23,118.55000000150949,0.7433962105225104,0.42221483868814946,1.661370717871278,111.21221780045722,71.61919009211122,5.738161520374348,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_1,24,116.75000000148657,0.7667687645533428,0.4088144162595474,1.7221259349004865,113.61423242773702,69.0516750338412,4.989283080666071,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_1,25,117.71666666816554,0.7493348013196548,0.40169166968783643,1.7377957156244768,118.7976346147829,71.63282679464797,4.827593221120693,Driver C | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver C,stint_2,14,117.49999999989313,0.6948076615799637,0.6061465002038527,1.6192755418499571,104.63894148602478,69.3210628127765,3.9999618196929307,Driver C | charlotte_roval_2025 | stint_2
