Track,Comparison,Stint,Sector,N_Act,DeltaT_s
CLT,F vs. B,stint_5,4,1,0.24737649677285134
CLT,F vs. B,stint_5,5,2,-0.0748019028721778
CLT,F vs. B,stint_5,6,2,0.4722545907776592
CLT,F vs. B,stint_5,7,2,0.06817039960338889
CLT,F vs. B,stint_5,8,1,-0.050681369021162936
CLT,F vs. B,stint_5,9,0,-0.017130821985261946
CLT,F vs. B,stint_5,10,4,0.1911816009218228
CLT,F vs. B,stint_5,11,5,0.592481760188079
CLT,F vs. B,stint_5,12,4,0.1565891571442677
CLT,F vs. B,stint_5,13,2,0.15482249248201185
CLT,F vs. B,stint_5,14,3,0.08988911385507947
CLT,F vs. B,stint_5,15,4,0.22207575418759973
CLT,F vs. B,stint_5,16,3,0.4396764417007688
CLT,F vs. B,stint_5,17,3,0.23798816772449527
SPT,B vs. A,stint_1,0,1,0.0166845697828224
SPT,B vs. A,stint_1,1,5,0.22169716304305176
SPT,B vs. A,stint_1,2,4,0.010502672230487065
SPT,B vs. A,stint_1,3,5,0.2357357688733437
SPT,B vs. A,stint_1,4,3,0.215141909762135
SPT,B vs. A,stint_1,5,4,0.28541314490789915
SPT,B vs. A,stint_1,6,3,0.15731925800542257
SPT,B vs. A,stint_1,7,4,0.19082436934058933
SPT,B vs. A,stint_1,8,6,0.20136939112666852
SPT,B vs. A,stint_1,9,2,0.05964848559976588
SPT,B vs. A,stint_2,0,2,-0.01826520122605224
SPT,B vs. A,stint_2,1,3,0.2925985618455602
SPT,B vs. A,stint_2,2,3,0.045778072573892103
SPT,B vs. A,stint_2,3,6,0.23513124075521574
SPT,B vs. A,stint_2,4,4,0.20580018013025736
SPT,B vs. A,stint_2,5,1,0.17554143502100317
SPT,B vs. A,stint_2,6,4,0.2127618851485522
SPT,B vs. A,stint_2,7,3,0.10169222291769842
SPT,B vs. A,stint_2,8,4,0.14059828686500708
SPT,B vs. A,stint_2,9,2,0.03400393850488115
SPT,B vs. A,stint_3,0,1,0.029486852998915403
SPT,B vs. A,stint_3,1,5,0.29260451107998087
SPT,B vs. A,stint_3,2,3,0.011084089692676713
SPT,B vs. A,stint_3,3,4,0.1190735626929218
SPT,B vs. A,stint_3,4,3,0.19322627679482096
SPT,B vs. A,stint_3,5,2,0.1604199071985235
SPT,B vs. A,stint_3,6,3,0.09729199245241915
SPT,B vs. A,stint_3,7,2,0.10332186371459073
SPT,B vs. A,stint_3,8,3,0.07592567229884395
SPT,B vs. A,stint_3,9,0,-0.03497653617145602
SPT,B vs. A,stint_4,0,1,0.019372410743608626
SPT,B vs. A,stint_4,1,3,0.18904844204205062
SPT,B vs. A,stint_4,2,3,0.03033790307247486
SPT,B vs. A,stint_4,3,6,0.11780252000714597
SPT,B vs. A,stint_4,4,2,0.18471544218995817
SPT,B vs. A,stint_4,5,3,0.17609284453851615
SPT,B vs. A,stint_4,6,5,0.17985686135149592
SPT,B vs. A,stint_4,7,3,0.14929276932369362
SPT,B vs. A,stint_4,8,2,0.18245126355859753
SPT,B vs. A,stint_4,9,2,0.030971698260799485
SPT,B vs. A,stint_5,0,1,0.021424641137056888
SPT,B vs. A,stint_5,1,2,0.04411969200211452
SPT,B vs. A,stint_5,2,1,-0.03802533318489765
