Track,Comparison,Stint,Rule_ID,Category,Fired
SPT,B vs. A,stint_2,THROTTLE_STEER_CONFLICT,Traction,5
SPT,B vs. A,stint_3,AGGRESSIVE_UNSTABLE_BRAKE,Braking,1
SPT,B vs. A,stint_3,BRAKING_POINT_MISMATCH,Braking,1
SPT,B vs. A,stint_3,ENTRY_OVER_SLOW,Braking,2
SPT,B vs. A,stint_3,EXIT_SPEED_LEGACY,Legacy,0
SPT,B vs. A,stint_3,LATE_ROTATION,Rotation,5
SPT,B vs. A,stint_3,LATE_THROTTLE_LOW_SPEED,Traction,0
SPT,B vs. A,stint_3,LOW_BRAKE_EFFICIENCY,Braking,1
SPT,B vs. A,stint_3,OVER_BRAKING_PEAK,Braking,2
SPT,B vs. A,stint_3,POOR_TRAIL_BRAKING,Rotation,2
SPT,B vs. A,stint_3,ROTATION_INEFFICIENT,Rotation,1
SPT,B vs. A,stint_3,STEER_EFFICIENCY,Rotation,6
SPT,B vs. A,stint_3,THROTTLE_STEER_CONFLICT,Traction,5
SPT,B vs. A,stint_4,AGGRESSIVE_UNSTABLE_BRAKE,Braking,2
SPT,B vs. A,stint_4,BRAKING_POINT_MISMATCH,Braking,1
SPT,B vs. A,stint_4,ENTRY_OVER_SLOW,Braking,1
SPT,B vs. A,stint_4,EXIT_SPEED_LEGACY,Legacy,2
SPT,B vs. A,stint_4,LATE_ROTATION,Rotation,7
SPT,B vs. A,stint_4,LATE_THROTTLE_LOW_SPEED,Traction,1
SPT,B vs. A,stint_4,LOW_BRAKE_EFFICIENCY,Braking,2
SPT,B vs. A,stint_4,OVER_BRAKING_PEAK,Braking,3
SPT,B vs. A,stint_4,POOR_TRAIL_BRAKING,Rotation,1
SPT,B vs. A,stint_4,ROTATION_INEFFICIENT,Rotation,1
SPT,B vs. A,stint_4,STEER_EFFICIENCY,Rotation,4
SPT,B vs. A,stint_4,THROTTLE_STEER_CONFLICT,Traction,5
SPT,B vs. A,stint_5,AGGRESSIVE_UNSTABLE_BRAKE,Braking,1
SPT,B vs. A,stint_5,BRAKING_POINT_MISMATCH,Braking,1
SPT,B vs. A,stint_5,ENTRY_OVER_SLOW,Braking,0
SPT,B vs. A,stint_5,EXIT_SPEED_LEGACY,Legacy,1
SPT,B vs. A,stint_5,LATE_ROTATION,Rotation,6
SPT,B vs. A,stint_5,LATE_THROTTLE_LOW_SPEED,Traction,0
SPT,B vs. A,stint_5,LOW_BRAKE_EFFICIENCY,Braking,1
SPT,B vs. A,stint_5,OVER_BRAKING_PEAK,Braking,2
SPT,B vs. A,stint_5,POOR_TRAIL_BRAKING,Rotation,1
SPT,B vs. A,stint_5,ROTATION_INEFFICIENT,Rotation,0
SPT,B vs. A,stint_5,STEER_EFFICIENCY,Rotation,2
SPT,B vs. A,stint_5,THROTTLE_STEER_CONFLICT,Traction,1
SPT,C vs. B,stint_1,AGGRESSIVE_UNSTABLE_BRAKE,Braking,3
SPT,C vs. B,stint_1,BRAKING_POINT_MISMATCH,Braking,1
SPT,C vs. B,stint_1,ENTRY_OVER_SLOW,Braking,2
SPT,C vs. B,stint_1,EXIT_SPEED_LEGACY,Legacy,2
SPT,C vs. B,stint_1,LATE_ROTATION,Rotation,6
